date,Other,Panel,Monolithic,Brick,Blocky,Wooden
2018-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,1.15,1.15,1.15,1.15,1.15,1.15
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,5.25,5.25,5.25,5.25,5.25,5.25
2018-10-01,6.95,6.95,6.95,6.95,6.95,6.95
2018-11-01,2.86,2.86,2.86,2.86,2.86,2.86
2018-12-01,2.32,2.32,2.32,2.32,2.32,2.32
2019-01-01,2.21,2.21,2.21,2.21,2.21,2.21
2019-02-01,2.49,2.49,2.49,2.49,2.49,2.49
2019-03-01,2.68,2.68,2.68,2.68,2.68,2.68
2019-04-01,2.27,2.27,2.27,2.27,2.27,2.27
2019-05-01,2.85,2.85,2.85,2.85,2.85,2.85
2019-06-01,2.38,2.38,2.38,2.38,2.38,2.38
2019-07-01,3.18,3.18,3.18,3.18,3.18,3.18
2019-08-01,2.31,2.31,2.31,2.31,2.31,2.31
2019-09-01,2.61,2.61,2.61,2.61,2.61,2.61
2019-10-01,2.79,2.79,2.79,2.79,2.79,2.79
2019-11-01,2.96,2.96,2.96,2.96,2.96,2.96
2019-12-01,3.01,3.01,3.01,3.01,3.01,3.01
2020-01-01,3.24,3.24,3.24,3.24,3.24,3.24
2020-02-01,4.16,4.16,4.16,4.16,4.16,4.16
2020-03-01,2.42,2.42,2.42,2.42,2.42,2.42
2020-04-01,2.74,2.74,2.74,2.74,2.74,2.74
2020-05-01,2.12,2.12,2.12,2.12,2.12,2.12
2020-06-01,2.57,2.57,2.57,2.57,2.57,2.57
