question,answer,location,options
Test question 1M,1,M,"[""11"",""2"",""3"",""4"",""5""]"
Test question 2M,2,M,"[""12"",""2"",""3"",""4"",""5""]"
Test question 3M,3,M,"[""13"",""2"",""3"",""4"",""5""]"
Test question 4M,4,M,"[""14"",""2"",""3"",""4"",""5""]"
Test question 5M,5,M,"[""15"",""2"",""3"",""4"",""5""]"
Test question AWM,A,WM,"[""A1"",""A"",""3"",""4"",""5""]"
Test question BWM,B,WM,"[""B1"",""B"",""3"",""4"",""5""]"
Test question CWM,C,WM,"[""C1"",""C"",""3"",""4"",""5""]"
Test question DWM,D,WM,"[""D1"",""D"",""3"",""4"",""5""]"
Test question EWM,E,WM,"[""E1"",""E"",""3"",""4"",""5""]"
Test 1NM,1,NM,"[""12"",""2"",""3"",""4"",""5""]"
Test 2NM,2,NM,"[""13"",""2"",""3"",""4"",""5""]"
Test 3NM,3,NM,"[""14"",""2"",""3"",""4"",""5""]"
Test 4NM,4,NM,"[""15"",""2"",""3"",""4"",""5""]"
Test 5NM,5,NM,"[""16"",""2"",""3"",""4"",""5""]"
Test ASEC,A,SEC,"[""A1"",""A"",""3"",""4"",""5""]"
Test BSEC,B,SEC,"[""B1"",""B"",""3"",""4"",""5""]"
Test CSEC,C,SEC,"[""C1"",""C"",""3"",""4"",""5""]"
Test DSEC,D,SEC,"[""D1"",""D"",""3"",""4"",""5""]"
Test ESEC,E,SEC,"[""E1"",""E"",""3"",""4"",""5""]"
